# GAMA ID 	 M* 	 MH2 	 flag 	 fgas1 	 fgas2 	 SFR 	 sSFR
567624.000	9.350	8.320	2.000	-1.046	-1.030	0.390	-9.759
574200.000	9.370	8.540	1.000	-0.824	-0.830	0.650	-9.557
228432.000	9.400	8.660	1.000	-0.745	-0.740	0.560	-9.652
239249.000	9.360	8.570	2.000	-0.796	-0.790	0.240	-9.980
31452.000	9.510	8.400	1.000	-1.097	-1.110	0.720	-9.653
238125.000	9.500	8.550	1.000	-0.959	-0.950	0.280	-10.053
486834.000	9.750	8.840	2.000	-0.921	-0.910	0.510	-10.042
417678.000	10.110	9.460	1.000	-0.658	-0.650	0.040	-11.508
106389.000	10.200	9.350	1.000	-0.854	-0.850	0.840	-10.276
593680.000	10.410	9.790	1.000	-0.620	-0.620	0.160	-11.206
618906.000	10.570	9.610	1.000	-0.959	-0.960	0.460	-10.907
618220.000	10.810	9.930	1.000	-0.886	-0.880	1.140	-10.753
383259.000	11.020	9.370	1.000	-1.699	-1.650	2.300	-10.658
209807.000	10.590	9.180	1.000	-1.398	-1.410	3.660	-10.027
376121.000	10.730	10.210	1.000	-0.523	-0.520	2.020	-10.425
