CATAID,SFR_RT,SFR_Ha,SFR_OII,SFR_FUV,SFR_NUV,SFR_u,SFR_W3,SFR_W4,SFR_100,SFR_NED_UV_TIR,SFR_LINGYU_UV_TIR
567624,NA,0.5620484135,1.1337625406,1.291423972,0.3118007936,2.0047993741,0.1799709158,2.5357688148,70276948624.7672,0.3292469421,0.2074913517
574200,1.1679545201,1.5436637384,0.4358305094,0.4334668655,0.3994595039,4.0915066126,0.7377327661,4.682431178,124564070976.755,0.8827796515,0.6561452663
228432,NA,2.7566674648,0.4908317905,0.5177643744,0.371492871,6.9737536524,1.864561839,7.687382651,195258672760.803,1.6868471373,0.9931160484
239249,NA,0.5648367555,0.3934842173,0.489968855,0.2225280286,2.2417369742,0.4665389698,2.3183785331,43195021320.6851,0.2550970426,0.0981747943
31452,NA,1.0654768981,0.5454533423,0.558569321,0.7758771506,4.0782908946,0.8987857302,3.9301334658,137114747735.899,1.0951990411,0.76207901
238125,0.5271665952,1.612541277,0.6469336887,0.7522046059,0.4154905068,4.0846998861,0.8281142319,4.7572039568,123862691477.86,0.9995090861,0.3953666201
486834,NA,0.8870459836,1.0494367204,1.2072895002,0.5229256586,4.5092961304,1.0205396737,4.4475595507,402468609132.55,NA,0.3775721909
417678,NA,7.2135198788,1.2017688331,1.5293461082,1.1213944467,17.5606042621,3.0948033434,17.2585644571,1200134053982.77,NA,2.7669416454
106389,1.7565700453,1.5275349255,0.9621788534,1.0712022409,1.3948113887,11.6894952647,1.838458049,10.5848611142,327474343725.757,3.0313630187,1.3551894124
593680,NA,2.3419404859,127.0539303459,236.4084140612,1.609001992,18.3382808858,NA,18.0710656791,686498188239.831,6.3944678685,1.6106456352
618906,NA,28.8979144739,1.7205383705,2.0632108035,2.5903187043,11.955135505,1.7085294678,8.7967578478,269367384094.976,2.2920699712,0.6338697113
618220,NA,1.4031710791,2.5451394791,2.6084198349,2.0659649124,6.6052831485,1.076395402,5.6582749152,209771165878.255,1.4470308794,0.7709034691
383259,NA,9.2286257903,11.4662619487,11.623332778,3.9923397184,33.0901475191,5.6587862039,27.5586433514,746623813263.744,6.236646058,7.8886011762
209807,NA,4.7398961907,2.4491765612,2.2428421366,3.6875041886,20.3535272911,3.1624815853,16.7123620196,785390086331.578,6.4646714539,3.404081897
376121,NA,2.7929139441,3.2520879589,3.2932273605,3.096877791,11.236547195,1.7936302086,8.5771755453,372797351276.072,2.6651234266,0.8953647655
