y,low,high
-3.1086958915,0,0
-3.1086958915,0,0.6989700043
-2.4097258872,0.6989700043,0.2645406735
-2.2635978515,0.1461280357,0.4677781622
-1.8350807136,0.3193726685,0
-1.8548417904,0,0.0823751182
-1.7803117301,0.1185425971,0
-1.8936848114,0.1014451035,0.0474453148
-2.0140269711,0.05372226,0.0930298895
-2.0766725027,0.1721929635,0.0693728477
-2.1630341371,0.2773560753,0.1320462819
-2.3582034562,0.4623979979,0.1320203265
-2.7066581018,0.6368220976,0.3631779024
-3.0424502037,0.3010299957,0.2632414348
-3.5195714584,0,0.3979400087
