GASSID,AGC,PLATEID,MJD,FIBERID,RA,DEC,Z,MASS,SFR_SDSS,SFR,SSFR
113001,0,2241,54169,639,196.046875,27.4904441834,0.01777024,9.926116,0.5387535,0.9482971,-9.949172
114000,726607,2134,53876,164,217.2200927734,27.8344020844,0.01551897,9.049796,0.3184565,0.2189095,-9.709532
101000,0,430,51877,313,27.2213726044,13.4239454269,0.01554217,9.407334,0.1240195,0.164912,-10.19008
110000,0,578,52339,43,161.2817993164,3.674605608,0.01890868,9.737374,0.406537,NULL,NULL
108000,0,1585,52962,55,124.4479293823,23.4765338898,0.01286902,9.486051,0.01878236,0.03566204,-10.93384
108001,0,1928,53327,255,126.8537521362,23.5672893524,0.01861922,9.495749,0.04878093,0.2366859,-10.12158
113003,8818,855,52375,539,208.5260925293,5.356356144,0.01822185,9.854682,0.8051746,1.152659,-9.792981
111001,0,2506,54179,105,175.8686523438,19.2038803101,0.01886046,9.336207,0.01225575,0.0003253458,-12.82386
113004,0,2241,54169,581,195.3067779541,27.9142723084,0.01951386,9.725677,0.01263194,0.02393266,-11.34669
108002,0,1587,52964,628,130.6887664795,28.521604538,0.01856375,9.25592,0.1849141,NULL,NULL
113005,0,854,52373,93,206.6233978271,3.8783125877,0.01782605,9.178998,0.4758062,0.3735322,-9.60667
108003,180194,826,52295,146,124.8412628174,35.0472412109,0.01756272,9.719866,0.8122694,1.026504,-9.708506
109001,0,472,51955,111,139.1757659912,0.2055801153,0.01686122,9.961572,0.4417943,0.5570877,-10.21565
107000,0,1921,53317,303,116.7572174072,16.5051708221,0.01630422,9.518705,0.4408289,0.6907972,-9.679355
111003,0,278,51900,469,167.2324066162,0.4448042214,0.01290247,9.163145,1.437772,0.8290202,-9.24458
108004,0,1927,53321,278,124.9086914062,21.285358429,0.01515976,9.682884,0.01192917,-0.03402545,NULL
101001,0,430,51877,231,27.6344871521,13.6617259979,0.01735902,9.084109,0.07119673,0.06708372,-10.25749
114005,0,2131,53819,112,217.021270752,25.8304672241,0.01516926,9.422225,0.0126174,0.07795564,-10.53038
108006,0,1185,52642,394,125.6080322266,4.1632528305,0.014917,9.295259,0.01204426,0.03369262,-10.76772
114006,0,2758,54523,221,212.3675689697,17.6621894836,0.0180566,9.576794,0.009382316,0.0201051,-11.27349
108007,180186,1927,53321,318,124.7045822144,21.2182388306,0.01485717,9.516364,0.4820145,0.5445319,-9.780341
113008,230859,1778,53883,498,209.2308959961,14.1422519684,0.01502278,9.306173,0.1248763,0.6476625,-9.494824
108008,0,1928,53327,170,127.3179626465,23.8090133667,0.01816986,9.284667,0.06315824,0.3363019,-9.757937
113009,0,525,52295,195,198.0536956787,2.120926857,0.01940095,9.952491,0.38961,0.5382996,-10.22147
110002,0,2589,54174,35,156.358215332,17.2615756989,0.01847224,9.769814,0.1483099,0.9224238,-9.804884
113010,0,2742,54233,36,208.2726287842,15.8445510864,0.0102141,9.97998,0.3810133,0.3759609,-10.40484
114007,0,2758,54523,212,212.5155029297,17.4057426453,0.01615497,9.948773,0.01630948,0.03216296,-11.44142
123000,332031,746,52238,563,352.6573791504,15.6051740646,0.01348879,9.155426,0.171775,0.3260745,-9.642109
112002,0,2240,53823,105,194.4854888916,27.3822994232,0.01738534,9.105005,0.008793059,0.0822459,-10.18989
114008,0,2131,53819,63,217.0533294678,25.8305263519,0.01318092,9.606174,0.007137399,0.03997483,-11.00439
113011,0,2756,54508,65,209.7766418457,17.9347133637,0.01756896,9.106084,0.2447316,0.1431156,-9.950397
108011,0,2570,54081,185,121.7766571045,7.8829026222,0.01545071,9.042074,0.2459349,0.1447417,-9.88148
114010,0,2134,53876,170,217.1944274902,27.2506694794,0.01473646,9.714161,1.618304,0.5826355,-9.948764
113012,0,2240,53823,611,195.0688171387,27.9675216675,0.01547031,9.799283,0.01039107,0.02448756,-11.41034
113013,0,2241,54169,583,195.2700958252,27.8917655945,0.01935512,9.336749,0.0148967,0.00451387,-11.6822
114012,248944,2747,54233,287,216.9273529053,13.9068880081,0.01743417,9.44209,0.6350386,0.5407142,-9.709123
110005,0,579,52338,210,162.6876678467,3.513510704,0.01811519,9.277843,0.2672084,NULL,NULL
111007,6967,2227,53820,319,179.6902923584,27.4524421692,0.01150397,9.960168,0.0202843,3.994394,-9.358717
113014,0,2094,53851,401,204.872253418,31.2998809815,0.01583877,9.986581,0.05554182,0.05168798,-11.27319
109005,0,1303,53050,549,143.7741851807,9.6492271423,0.01136799,9.609703,0.02352881,0.006081267,-11.82571
109006,190511,1305,52757,103,146.9255828857,9.1610546112,0.0178318,9.178282,0.3181486,0.7748681,-9.289054
110006,0,2484,54144,56,164.1585693359,20.2457389832,0.0199145,9.305924,0.2877399,0.3291723,-9.788501
110007,0,2479,54174,150,161.7056274414,18.0310821533,0.01977138,9.402105,0.03591618,-0.01291063,NULL
110008,722227,2353,53794,192,157.2167816162,26.7929706574,0.01744893,9.281501,0.2910517,0.3752282,-9.707206
113015,0,2617,54502,514,197.5012817383,19.7183456421,0.0124378,9.710998,0.1328924,0.3650846,-10.1486
112003,0,2240,53823,117,194.4765167236,27.4906387329,0.01661109,9.807007,0.1426133,0.9848539,-9.813635
112004,0,2240,53823,490,194.449432373,27.7694568634,0.01928272,9.360384,0.01635724,0.009576533,-11.37918
114015,240256,2128,53800,587,214.7557830811,24.9437160492,0.01787376,9.244305,0.0368324,0.4478669,-9.593156
112005,0,516,52017,27,181.2258453369,1.8213176727,0.01926567,9.736208,0.01326234,0.00428018,-12.10475
108016,4473,1587,52964,246,128.4860687256,26.9726619721,0.01174959,9.567883,0.2682194,0.7807574,-9.675366
113017,0,2241,54169,448,195.148223877,28.1461296082,0.01821857,9.973101,0.01114782,0.02656079,-11.54886
108017,0,1934,53357,249,134.2139434814,27.2700977325,0.01856138,9.912443,0.02083723,0.1487468,-10.74
124000,102005,753,52233,138,5.9327740669,14.306722641,0.01793722,9.406632,0.3507762,0.3754653,-9.832063
108019,0,1584,52943,512,122.550743103,22.7722911835,0.01559374,9.36662,0.04502773,0.347037,-9.826244
110009,200065,2348,53757,263,151.6717529297,28.1728363037,0.01566017,9.439657,0.2861805,0.5651876,-9.687465
110010,0,572,52289,542,150.2640380859,4.6192727089,0.01350064,9.662399,0.07988589,0.1119372,-10.61342
113018,0,2242,54153,615,197.3453369141,28.3212795258,0.01913857,9.644906,0.01021998,0.02074746,-11.32794
114016,0,2758,54523,184,212.528793335,17.6157608032,0.01885901,9.496359,0.9335124,1.220007,-9.409997
114018,0,2132,53493,251,216.249786377,23.1251239777,0.01709201,9.562931,1.131879,0.8054802,-9.656877
108021,0,1932,53350,632,133.8280792236,27.3461647034,0.01729252,9.638288,0.3492449,0.7423216,-9.767696
112009,0,2240,53823,564,194.8696899414,28.0405235291,0.01875564,9.849346,0.008987729,0.01766249,-11.60229
101004,110244,424,51893,228,20.3777694702,14.504983902,0.01403548,9.916551,0.4843286,0.9184947,-9.953474
114019,0,1644,53144,590,217.2509155273,35.9437713623,0.01496791,9.474652,0.3879985,0.3918,-9.881588
109008,0,2295,53734,524,147.0943603516,23.630399704,0.01896241,9.27627,0.3724089,0.330298,-9.757364
112010,0,2240,53823,297,192.7639465332,26.445728302,0.01999256,9.518241,0.01296284,0.01645624,-11.30191
110011,5378,572,52289,501,150.1333312988,4.4070820808,0.01385642,9.883593,0.7293233,1.617933,-9.674632
111012,0,279,51984,557,169.7316436768,0.089849554,0.01923702,9.143418,0.270963,0.1501408,-9.96692
108024,0,2083,53359,325,126.0176391602,21.0118846893,0.01549544,9.451381,0.00949205,0.02634482,-11.03069
108025,0,2281,53711,397,131.9571990967,18.9118976593,0.01409451,9.437348,0.05480246,0.1678567,-10.21241
108026,4456,1929,53349,372,128.0145874023,24.0109176636,0.01831621,9.837106,0.0202843,2.907217,-9.373629
