GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
11834,101866,J000047.89+141639.1,750,52235,141,0.19954,14.277546,0.03618,10.709,8.91
11861,101867,J000054.75+151307.4,750,52235,516,0.22813,15.218737,0.0458,10.009,8.5
11828,101869,J000131.42+142426.8,750,52235,101,0.38094,14.407469,0.04191,10.211,8.5
11899,101870,J000144.41+151215.1,751,52251,356,0.43506,15.204218,0.04593,10.331,8.53
11864,101873,J000153.70+160815.2,750,52235,569,0.47375,16.137566,0.04254,10.154,8.5
11892,101874,J000200.82+150132.1,751,52251,266,0.50344,15.025609,0.03573,10.539,8.74
11825,101876,J000210.19+140810.3,750,52235,13,0.54247,14.136204,0.04201,10.625,8.83
11865,7,J000311.26+155756.7,750,52235,605,0.79694,15.96576,0.03742,11.306,9.51
11826,101882,J000320.84+144024.0,750,52235,73,0.83687,14.673346,0.04143,10.335,8.54
11900,100855,J000400.78+160110.4,751,52251,377,1.00329,16.01957,0.03722,10.024,8.5
11903,101887,J000458.72+154018.2,751,52251,426,1.24471,15.671741,0.03733,10.168,8.5
11902,101893,J000524.12+160259.8,751,52251,405,1.35052,16.049961,0.04279,10.539,8.74
11890,101894,J000527.05+134849.6,751,52251,246,1.36271,13.813791,0.04214,10.307,8.51
11912,101903,J000625.57+152543.4,751,52251,498,1.60657,15.428742,0.04415,10.297,8.5
11910,101905,J000632.57+154004.7,751,52251,484,1.63573,15.667993,0.03701,10.279,8.5
11917,101910,J000742.65+151112.7,751,52251,551,1.92773,15.186888,0.04458,10.743,8.94
11951,101914,J000805.46+145317.4,752,52251,311,2.02276,14.888187,0.04507,10.32,8.52
11956,101917,J000820.76+150921.6,752,52251,350,2.08654,15.156012,0.03951,10.088,8.5
2132,102343,J000837.48+005602.5,388,51793,577,2.15617,0.934043,0.04943,10.071,8.5
11952,100953,J000907.90+142755.9,752,52251,320,2.28293,14.465533,0.04143,10.724,8.92
11919,101926,J000920.50+153234.4,751,52251,585,2.33545,15.542902,0.04449,10.117,8.5
2122,102350,J001007.23+001942.5,388,51793,514,2.53014,0.328495,0.03889,10.005,8.5
11876,100070,J001047.89+145101.3,751,52251,68,2.69956,14.850371,0.04192,10.974,9.17
11927,101934,J001052.66+153526.6,751,52251,625,2.71942,15.590727,0.03696,11.295,9.5
11950,101936,J001136.15+134818.2,752,52251,260,2.90063,13.805058,0.03914,10.712,8.91
11946,101941,J001228.53+141039.8,752,52251,214,3.1189,14.177739,0.0442,10.408,8.61
2113,101809,J001234.46+000259.2,388,51793,32,3.14361,0.04979,0.0395,10.483,8.68
2137,102363,J001256.72+002518.0,388,51793,628,3.23636,0.42169,0.03874,10.182,8.5
2144,102364,J001312.19+004434.6,389,51795,370,3.30081,0.742958,0.03872,10.879,9.08
11945,101945,J001324.73+141230.2,752,52251,213,3.35307,14.2084,0.04518,10.689,8.89
2148,101136,J001328.58+010220.7,389,51795,410,3.3691,1.039093,0.03216,10.052,8.5
11937,101948,J001355.13+140439.0,752,52251,139,3.47975,14.077515,0.04276,10.044,8.5
2156,102370,J001417.48+010405.2,389,51795,452,3.57286,1.068124,0.03948,10.701,8.9
2155,102371,J001419.43+011254.8,389,51795,444,3.58097,1.215225,0.03978,10.25,8.5
11942,101949,J001422.57+144503.4,752,52251,174,3.59406,14.750955,0.02783,10.029,8.5
2153,102372,J001426.22+010350.9,389,51795,441,3.60927,1.064149,0.0399,10.872,9.07
2154,102374,J001427.30+010734.3,389,51795,442,3.61376,1.12622,0.04015,10.321,8.52
11941,101950,J001443.88+143120.0,752,52251,170,3.68287,14.522233,0.03417,10.274,8.5
2158,400884,J001455.07+001508.2,389,51795,474,3.72947,0.252292,0.03897,10.553,8.75
11934,101953,J001506.35+141422.6,752,52251,82,3.77646,14.239633,0.04269,10.304,8.5
2159,100967,J001529.73+003823.2,389,51795,481,3.87392,0.639778,0.04033,10.651,8.85
11977,100969,J001610.28+145530.3,752,52251,560,4.04284,14.925107,0.04204,10.681,8.88
2165,100755,J001621.30+004719.0,389,51795,540,4.08878,0.788617,0.04425,10.413,8.61
27432,102608,J001646.29+011237.0,687,52518,523,4.1929,1.210335,0.04407,11.051,9.25
2174,100130,J001647.01+004215.5,389,51795,577,4.19588,0.704308,0.04484,11.227,9.43
2162,102384,J001705.62+003810.7,389,51795,518,4.27342,0.636311,0.0453,10.105,8.5
2182,102610,J001734.46+004434.9,389,51795,620,4.39361,0.743052,0.04447,10.902,9.1
16247,102611,J001750.26+001604.8,1088,52929,400,4.45943,0.267986,0.0421,10.235,8.5
2168,102611,J001750.38+001602.1,389,51795,549,4.45993,0.26727,0.04243,10.516,8.72
16261,102392,J001810.41+001444.9,1089,52913,579,4.54341,0.245862,0.04498,10.103,8.5
2185,102395,J001827.24+003801.0,390,51900,336,4.61352,0.633624,0.04717,10.798,9
12030,101972,J001842.68+151142.6,753,52233,345,4.67786,15.195168,0.03716,10.653,8.85
12029,180,J001908.23+154457.6,753,52233,336,4.78432,15.749361,0.03664,11.174,9.37
11982,101976,J001932.15+154102.5,752,52251,614,4.88398,15.684034,0.04064,10.181,8.5
12025,101977,J001934.54+161215.0,753,52233,322,4.89396,16.204182,0.03665,10.843,9.04
12027,101979,J001940.37+155411.0,753,52233,325,4.91822,15.903058,0.04038,10.606,8.81
2184,101793,J001941.68+002232.3,389,51795,638,4.92368,0.375665,0.0413,10.504,8.7
12026,100764,J001944.69+155130.5,753,52233,324,4.93621,15.85848,0.04077,10.341,8.54
2183,102397,J002011.52+000024.6,389,51795,631,5.04803,0.006853,0.04399,10.673,8.87
2196,102399,J002027.67+000015.5,390,51900,435,5.11532,0.004318,0.04607,10.811,9.01
12044,100169,J002032.65+152050.4,753,52233,434,5.13605,15.347357,0.04031,10.347,8.55
12018,101992,J002142.86+141251.3,753,52233,260,5.42858,14.214273,0.04201,10.128,8.5
2201,102402,J002219.86+000033.2,390,51900,494,5.58276,0.009242,0.04282,10.437,8.64
2212,102403,J002231.86+002127.1,391,51782,347,5.63277,0.357547,0.04712,10.108,8.5
12012,101998,J002244.62+145658.9,753,52233,197,5.68596,14.949708,0.02519,10.317,8.52
12053,102007,J002347.85+153957.6,753,52233,488,5.94942,15.666024,0.0363,10.498,8.7
12045,102009,J002350.74+160655.7,753,52233,443,5.96144,16.115498,0.03683,10.314,8.51
12005,102014,J002420.72+144632.3,753,52233,143,6.08636,14.775663,0.0309,10.056,8.5
12002,102019,J002504.00+145815.2,753,52233,118,6.2667,14.97091,0.03672,10.482,8.68
12001,102023,J002531.64+144234.0,753,52233,107,6.38187,14.709469,0.04194,10.228,8.5
2214,102407,J002537.70+000212.2,391,51782,383,6.4071,0.036736,0.04244,11.196,9.4
12062,102606,J002556.06+153815.0,753,52233,559,6.48359,15.637516,0.03651,10.087,8.5
11989,102027,J002558.89+135545.8,753,52233,47,6.49538,13.929405,0.04194,10.693,8.89
11994,247,J002558.97+142052.7,753,52233,77,6.49573,14.347994,0.03725,10.167,8.5
12061,102028,J002601.97+153918.3,753,52233,554,6.50822,15.655093,0.03652,10.324,8.52
12065,102032,J002634.91+151924.8,753,52233,598,6.64547,15.323564,0.04189,10.605,8.81
2209,102413,J002649.05+000217.2,390,51900,625,6.70438,0.03812,0.04462,10.739,8.94
12067,102039,J002740.45+154151.5,753,52233,631,6.91856,15.697644,0.03825,10.217,8.5
2229,102419,J002829.44+004651.6,391,51782,537,7.12269,0.781022,0.04031,10.83,9.03
3163,102043,J002846.83+150529.3,417,51821,343,7.19513,15.0915,0.0422,10.631,8.83
2228,102423,J002908.09+001646.1,391,51782,514,7.28374,0.279485,0.0453,10.172,8.5
2227,102612,J002924.12+001856.7,391,51782,513,7.35053,0.315766,0.04538,10.862,9.06
2249,102426,J003005.31+002449.5,392,51793,354,7.52216,0.413776,0.0455,10.229,8.5
3157,102055,J003032.94+145635.4,417,51821,235,7.63725,14.943187,0.03812,10.571,8.77
3151,102060,J003143.05+142911.2,417,51821,166,7.92941,14.486465,0.03814,10.4,8.6
2236,729554,J003215.70+005422.1,391,51782,607,8.06543,0.906164,0.04436,10.174,8.5
27446,102723,J003246.60+010749.4,689,52262,570,8.19417,1.130416,0.04361,10.482,8.68
27181,102067,J003248.17+144738.1,418,51884,313,8.20069,14.793937,0.04182,10.596,8.8
2252,102613,J003251.34+011310.1,392,51793,366,8.21392,1.219481,0.04399,10.596,8.8
2262,102447,J003446.21+000651.7,392,51793,424,8.69256,0.114373,0.0452,10.187,8.5
3148,100318,J003506.49+142117.4,417,51821,26,8.77706,14.354837,0.03796,10.212,8.5
2264,102449,J003514.53+004145.5,392,51793,432,8.81055,0.695981,0.0412,10.732,8.93
2274,729557,J003542.87+011301.4,392,51793,533,8.92864,1.217057,0.0406,10.416,8.62
27178,101736,J003546.93+135901.4,418,51884,243,8.94559,13.983735,0.03672,10.343,8.54
27449,102460,J003600.19+000013.8,690,52261,237,9.00083,0.003829,0.04202,10.108,8.5
27175,102077,J003708.02+143148.7,418,51884,185,9.28347,14.530222,0.03843,10.42,8.62
27188,102082,J003727.09+150053.0,418,51884,473,9.36291,15.014765,0.03848,10.239,8.5
2272,100349,J003735.81+001650.4,392,51793,517,9.39922,0.280685,0.03491,10.987,9.19
27187,102087,J003749.14+153155.7,418,51884,465,9.45478,15.532194,0.03825,10.493,8.69
27170,102088,J003758.35+143250.1,418,51884,167,9.49316,14.547307,0.03885,10.54,8.74
2279,102461,J003814.65+001237.4,392,51793,554,9.56106,0.210408,0.04443,10.544,8.74
2291,400319,J003828.13+000720.7,393,51794,356,9.61721,0.122429,0.04165,10.639,8.84
