GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
11834,101866,J000047.89+141639.1,750,52235,141,14.277546,0.03618,10.709,8.91,0,228693,0.036184598,17.9499,16.2023,15.3202,14.8164,14.3893,0.3257,0.2396,0.1738,0.1318,0.0934
11861,101867,J000054.75+151307.4,750,52235,516,15.218737,0.0458,10.009,8.5,0,229003,0.04579797,18.5675,17.2492,16.594,16.2253,15.9386,0.2273,0.1672,0.1213,0.092,0.0652
11828,101869,J000131.42+142426.8,750,52235,101,14.407469,0.04191,10.211,8.5,0,228663,0.041910756,17.9527,16.6587,15.9691,15.5759,15.3074,0.2868,0.211,0.153,0.116,0.0823
11899,101870,J000144.41+151215.1,751,52251,356,15.204218,0.04593,10.331,8.53,0,229388,0.04593726,18.7731,16.9816,16.1584,15.7442,15.4396,0.2233,0.1643,0.1191,0.0903,0.0641
11864,101873,J000153.70+160815.2,750,52235,569,16.137566,0.04254,10.154,8.5,0,229044,0.042546514,18.9564,17.1583,16.468,16.0384,15.7021,0.2247,0.1654,0.1199,0.0909,0.0645
11892,101874,J000200.82+150132.1,751,52251,266,15.025609,0.03573,10.539,8.74,0,229319,0.035715353,17.7795,16.0029,15.1594,14.7566,14.4277,0.2495,0.1836,0.1331,0.1009,0.0716
11825,101876,J000210.19+140810.3,750,52235,13,14.136204,0.04201,10.625,8.83,0,228594,0.04200882,18.5348,16.5763,15.6362,15.186,14.8039,0.3514,0.2585,0.1875,0.1422,0.1008
11865,7,J000311.26+155756.7,750,52235,605,15.96576,0.03742,11.306,9.51,0,229075,0.037421063,16.6191,14.6649,13.7372,13.2724,12.8835,0.2311,0.1701,0.1233,0.0935,0.0663
11826,101882,J000320.84+144024.0,750,52235,73,14.673346,0.04143,10.335,8.54,0,228640,0.041428953,19.169,17.1484,16.2293,15.7977,15.4388,0.3891,0.2863,0.2077,0.1575,0.1116
11900,100855,J000400.78+160110.4,751,52251,377,16.01957,0.03722,10.024,8.5,0,229407,0.037230443,17.9261,16.5532,15.9463,15.6008,15.3275,0.2153,0.1584,0.1149,0.0871,0.0618
11903,101887,J000458.72+154018.2,751,52251,426,15.671741,0.03733,10.168,8.5,0,229449,0.037335586,18.8742,16.9764,16.1231,15.7146,15.4095,0.3617,0.2661,0.193,0.1463,0.1038
11902,101893,J000524.12+160259.8,751,52251,405,16.049961,0.04279,10.539,8.74,0,229430,0.04278472,17.3393,15.9989,15.2992,14.89,14.6268,0.2411,0.1774,0.1287,0.0976,0.0692
11890,101894,J000527.05+134849.6,751,52251,246,13.813791,0.04214,10.307,8.51,0,229302,0.04213179,17.8844,16.4186,15.7126,15.2923,15.0126,0.6252,0.46,0.3336,0.253,0.1794
11912,101903,J000625.57+152543.4,751,52251,498,15.428742,0.04415,10.297,8.5,0,229511,0.04414809,18.604,16.9469,16.1647,15.7452,15.4133,0.3604,0.2652,0.1923,0.1458,0.1034
11910,101905,J000632.57+154004.7,751,52251,484,15.667993,0.03701,10.279,8.5,0,229498,0.037012957,18.5424,16.6796,15.8447,15.4232,15.1096,0.3328,0.2449,0.1776,0.1347,0.0955
11917,101910,J000742.65+151112.7,751,52251,551,15.186888,0.04458,10.743,8.94,0,229553,0.044561084,18.2036,16.322,15.4279,14.9554,14.5858,0.3311,0.2436,0.1767,0.134,0.095
11951,101914,J000805.46+145317.4,752,52251,311,14.888187,0.04507,10.32,8.52,0,229859,0.045066833,19.5018,17.6576,16.7267,16.2365,15.8236,0.2772,0.204,0.1479,0.1122,0.0795
11956,101917,J000820.76+150921.6,752,52251,350,15.156012,0.03951,10.088,8.5,0,229885,0.039504584,18.3761,17.1992,16.4392,16.0643,15.7504,0.2966,0.2182,0.1583,0.12,0.0851
2132,102343,J000837.48+005602.5,388,51793,577,0.934043,0.04943,10.071,8.5,0,57162,0.049433634,18.2701,17.0516,16.4462,16.0995,15.8339,0.1449,0.1066,0.0773,0.0587,0.0416
11952,100953,J000907.90+142755.9,752,52251,320,14.465533,0.04143,10.724,8.92,0,229866,0.041430086,17.3555,15.7245,14.9462,14.516,14.167,0.441,0.3245,0.2353,0.1785,0.1265
11919,101926,J000920.50+153234.4,751,52251,585,15.542902,0.04449,10.117,8.5,0,229579,0.0444833,19.3738,17.761,16.9465,16.4798,16.0874,0.368,0.2708,0.1964,0.1489,0.1056
2122,102350,J001007.23+001942.5,388,51793,514,0.328495,0.03889,10.005,8.5,0,57110,0.03889409,17.7368,16.4313,15.8845,15.5581,15.2986,0.1647,0.1212,0.0879,0.0666,0.0473
11876,100070,J001047.89+145101.3,751,52251,68,14.850371,0.04192,10.974,9.17,0,229158,0.041936696,17.4486,15.6764,14.7927,14.3146,13.9129,0.3689,0.2714,0.1968,0.1493,0.1058
11927,101934,J001052.66+153526.6,751,52251,625,15.590727,0.03696,11.295,9.5,0,229610,0.03693221,18.4492,16.2964,15.0818,14.4484,13.9238,0.3629,0.267,0.1937,0.1468,0.1041
11950,101936,J001136.15+134818.2,752,52251,260,13.805058,0.03914,10.712,8.91,0,229816,0.039137024,17.8932,15.9902,15.0978,14.6452,14.2991,0.345,0.2539,0.1841,0.1396,0.099
11946,101941,J001228.53+141039.8,752,52251,214,14.177739,0.0442,10.408,8.61,0,229783,0.04419659,18.2483,16.6849,15.8813,15.4864,15.1413,0.2608,0.1919,0.1392,0.1055,0.0748
2113,101809,J001234.46+000259.2,388,51793,32,0.04979,0.0395,10.483,8.68,0,56724,0.039514974,17.8662,16.5974,15.7138,15.3527,14.9815,0.1537,0.1131,0.082,0.0622,0.0441
2137,102363,J001256.72+002518.0,388,51793,628,0.42169,0.03874,10.182,8.5,0,57200,0.038740005,17.8772,16.4885,15.8123,15.4658,15.197,0.164,0.1207,0.0875,0.0664,0.0471
2144,102364,J001312.19+004434.6,389,51795,370,0.742958,0.03872,10.879,9.08,0,57508,0.038762882,17.3303,15.418,14.5597,14.1581,13.8383,0.1514,0.1114,0.0808,0.0613,0.0434
11945,101945,J001324.73+141230.2,752,52251,213,14.2084,0.04518,10.689,8.89,0,229782,0.045170743,18.006,16.1475,15.2922,14.896,14.5637,0.2148,0.158,0.1146,0.0869,0.0616
2148,101136,J001328.58+010220.7,389,51795,410,1.039093,0.03216,10.052,8.5,0,57539,0.032166585,17.9951,16.3394,15.636,15.2832,15.051,0.1319,0.097,0.0704,0.0534,0.0378
11937,101948,J001355.13+140439.0,752,52251,139,14.077515,0.04276,10.044,8.5,0,229729,0.04275906,17.8285,16.2969,15.7403,15.4334,15.2849,0.2274,0.1673,0.1214,0.092,0.0652
2156,102370,J001417.48+010405.2,389,51795,452,1.068124,0.03948,10.701,8.9,0,57571,0.039515577,17.7249,15.8725,15.0221,14.616,14.2871,0.1177,0.0866,0.0628,0.0476,0.0338
2155,102371,J001419.43+011254.8,389,51795,444,1.215225,0.03978,10.25,8.5,0,57564,0.03980873,18.187,16.6484,15.8931,15.5079,15.2313,0.1045,0.0769,0.0558,0.0423,0.03
11942,101949,J001422.57+144503.4,752,52251,174,14.750955,0.02783,10.029,8.5,0,229752,0.027815929,18.0036,16.3819,15.6426,15.2465,14.9592,0.2358,0.1735,0.1259,0.0954,0.0677
2153,102372,J001426.22+010350.9,389,51795,441,1.064149,0.0399,10.872,9.07,0,57561,0.03991177,17.5756,15.6814,14.8004,14.3556,14.0081,0.1186,0.0873,0.0633,0.048,0.034
2154,102374,J001427.30+010734.3,389,51795,442,1.12622,0.04015,10.321,8.52,0,57562,0.04017201,18.6782,16.7932,15.9762,15.5686,15.2447,0.1138,0.0837,0.0607,0.046,0.0326
11941,101950,J001443.88+143120.0,752,52251,170,14.522233,0.03417,10.274,8.5,0,229751,0.03416925,18.6586,16.9027,16.0299,15.5679,15.1668,0.2923,0.2151,0.156,0.1183,0.0839
2158,400884,J001455.07+001508.2,389,51795,474,0.252292,0.03897,10.553,8.75,0,57590,0.038993828,16.2472,15.1306,14.6407,14.2876,14.0162,0.1373,0.101,0.0732,0.0555,0.0394
11934,101953,J001506.35+141422.6,752,52251,82,14.239633,0.04269,10.304,8.5,0,229684,0.04269085,18.6493,17.1007,16.3207,15.8506,15.4838,0.2984,0.2196,0.1592,0.1207,0.0856
2159,100967,J001529.73+003823.2,389,51795,481,0.639778,0.04033,10.651,8.85,0,57595,0.040359553,17.6858,16.0644,15.343,14.9178,14.6118,0.126,0.0927,0.0672,0.051,0.0361
11977,100969,J001610.28+145530.3,752,52251,560,14.925107,0.04204,10.681,8.88,0,230038,0.042048328,17.7534,16.3154,15.5264,15.0353,14.6973,0.2378,0.175,0.1269,0.0962,0.0682
2165,100755,J001621.30+004719.0,389,51795,540,0.788617,0.04425,10.413,8.61,0,57639,0.044279262,17.943,16.1932,15.4602,15.1163,14.8471,0.1289,0.0948,0.0688,0.0522,0.037
27432,102608,J001646.29+011237.0,687,52518,523,1.210335,0.04407,11.051,9.25,0,203643,0.044054672,17.471,15.4997,14.6053,14.1712,13.8301,0.1431,0.1053,0.0764,0.0579,0.0411
2174,100130,J001647.01+004215.5,389,51795,577,0.704308,0.04484,11.227,9.43,0,57670,0.04484349,16.8012,14.8801,14.0185,13.6101,13.2929,0.1286,0.0946,0.0686,0.052,0.0369
2162,102384,J001705.62+003810.7,389,51795,518,0.636311,0.0453,10.105,8.5,0,57624,0.045311216,18.4047,17.1524,16.7747,16.5127,16.3458,0.1268,0.0933,0.0677,0.0513,0.0364
2182,102610,J001734.46+004434.9,389,51795,620,0.743052,0.04447,10.902,9.1,0,57702,0.04448506,17.5602,15.6752,14.8085,14.3926,14.08,0.1427,0.105,0.0761,0.0577,0.0409
16247,102611,J001750.26+001604.8,1088,52929,400,0.267986,0.0421,10.235,8.5,1,374130,0.042106993,18.6528,17.3154,16.8818,16.2171,15.8094,0.1409,0.1037,0.0752,0.057,0.0404
2168,102611,J001750.38+001602.1,389,51795,549,0.26727,0.04243,10.516,8.72,1,57648,0.042468235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16261,102392,J001810.41+001444.9,1089,52913,579,0.245862,0.04498,10.103,8.5,0,374365,0.044981565,17.9609,16.675,16.1085,15.7346,15.5078,0.1441,0.1061,0.0769,0.0583,0.0414
