GASS,SFR_best,SFRerr_best,SFRcase_best
108114,0.001451586,0,9
114110,0.4857954,0,9
12293,0.9565244,0.2728849,1
4111,1.444633,0.2795549,1
53269,0.05820971,0.09246878,2
4119,0.0787196,0.1790406,2
12318,0.1562257,0.1443329,2
28703,0.2704362,0.1273805,1
4130,0.06375846,0.1670318,2
4132,4.234329,0.3319075,1
4134,2.614603,0.3643378,1
4136,0.04618281,0.1208663,2
4137,0.1884515,0,9
4145,12.0731,0.3791388,1
4163,0.6593295,0.1732375,1
4165,0.03568027,0.1195154,2
12371,2.289102,0.3372114,1
12372,0.005491294,0,9
4195,0.2478043,0,9
19132,0.03455106,0,9
4203,0.3623366,0.1833181,1
4223,0.04930855,0.08085541,2
4230,0.5662812,0.2048308,1
4233,0.0130411,0,9
28810,0.6732296,0.257703,1
32907,0.859467,0.2309995,1
4239,0.0512966,0.1002812,2
8347,0.171644,0.1986785,2
8349,0.8818358,0.1957977,1
24736,3.641324,0.2910533,1
12452,0.540392,0.1666925,1
24741,4.410426,0.390946,1
12455,0.1279703,0.2178297,2
32937,1.201064,0.1893389,1
12458,0.07892143,0.1752927,2
12460,0.3453206,0.2069064,1
24757,1.473485,0.2031004,2
11636,0.1300193,0.1228456,2
45254,0.3781638,0,9
28875,0.2292284,0.1227668,1
32993,2.795194,0.3581028,1
23194,4.987595,0,9
49386,0.1773685,0.1197706,2
12533,3.919436,0.2637246,1
33019,0.2040986,0,9
33039,5.851932,0,9
49433,0.6177012,0.2778627,1
48518,0.3189021,0.1752636,1
41254,1.511636,0.2548458,1
12597,0.0536633,0,9
20790,7.749495,0,9
10292,0.05168232,0,9
3439,0.5195145,0.1593961,2
41303,0.04830358,0,9
57697,2.216255,0.3064948,1
41323,0.118332,0.2047648,2
16753,1.495767,0.2601547,1
9619,0.6216781,0.1386414,2
16756,0.0130138,0,9
45439,0.1010274,0,9
24973,12.44031,0.3620104,1
17135,18.33313,0,9
29090,0.2493568,0,9
28062,0.4358483,0.188528,1
111031,0.02216763,0,9
8634,0.0714048,0,9
33214,0.03473657,0.07343685,2
25057,0.01506584,0.07555623,2
41444,0.1735642,0,9
41482,0.16979,0,9
29205,1.716422,0.2422285,1
25115,0.08325668,0,9
21023,0.01793301,0.06302316,2
3504,0.7387744,0.1076045,1
29225,0.03020496,0.07525064,2
45613,7.555412,0.357882,1
17843,3.236215,0.4162458,1
21049,1.041895,0.2069586,1
19932,2.109815,0.2762651,1
49727,0.3074588,0.129624,2
25154,0.093486,0.1746121,2
25167,0.2399805,0.1457861,2
25202,0.1017625,0.1544286,2
3519,3.013747,0,9
25213,0.3404679,0.1497446,2
25214,0.192362,0.1639613,1
25215,2.63207,0.3146358,1
40393,4.51393,0.3514227,1
28779,0.947023,0.1747422,1
17029,1.92261,0.3621939,1
12940,1.088574,0,9
23320,1.129726,0.176977,1
25236,0.04393798,0.09413234,2
41621,0.07334337,0.1077138,2
12966,0.4392174,0,9
12967,0.05795468,0,9
12970,0.303495,0,9
30847,0.01885511,0.05383163,2
12983,0.46955,0,9
29371,0.2085018,0,9
33469,0.3778903,0.1783531,1
13005,7.841835,0.4077154,1
25296,3.423609,0.2943019,1
4216,9.646168,0.3622242,1
8914,1.476452,0.2148838,1
19918,1.806024,0.3019838,1
41699,5.02011,0.2741907,1
41703,0.4750785,0.1642294,1
29420,0.3503639,0.202273,1
13037,0.1710864,0,9
25327,24.90687,0.5379308,1
8945,3.802078,0.3163716,1
41718,0.02790791,0.06501616,2
8953,0.2267767,0.1653046,2
41723,0.1322659,0,9
41728,4.108576,0,9
25347,0.09387036,0.170165,2
7561,0.2951049,0,9
8971,0.1103755,0.1052557,2
41743,0.8341441,0.2828937,1
