Log_Mh2,Log_LCO,Log_M,Log_SFR
9.0459419007,8.431510743,10.17,-0.1702350834
8.9634413702,8.421510743,10.05,-0.1889476022
9.0751213426,8.481510743,10.08,-0.0807460141
8.7751268165,8.101510743,10.19,-0.8118995949
9.1810051158,8.751510743,10.81,-0.0575923931
8.8320029334,8.311510743,10.73,-0.5447867963
9.1255532079,8.761510743,10.74,0.1362641366
8.971510743,8.341510743,10.16,-0.1614576659
9.8551102867,9.331510743,10.67,0.7735959536
9.9745390148,9.441510743,10.74,0.9065880387
8.9817195676,8.341510743,11.01,0.3031468267
10.051510743,9.421510743,10.9,0.7944133956
8.67196516,8.111510743,10.23,-0.2950871067
8.3127362078,7.951510743,10.26,-0.3805744283
9.5090840611,9.001510743,11.33,0.0530713123
9.8626510363,8.811510743,10.72,0.262981963
9.701510743,9.071510743,10.47,0.593839529
9.051510743,8.421510743,10.41,-0.0193117296
9.1202430916,8.751510743,10.55,-0.1757874561
9.7764317963,8.711510743,10.55,0.4760267383
8.5589764349,8.021510743,10.57,-0.1860402975
9.3406399746,8.801510743,10.37,0.4063176646
9.4577875626,8.901510743,11,-0.0076308366
9.783187762,9.15,10.57,1.0859879393
9.4405012123,8.921510743,10.84,0.3016475325
8.5324130087,8.151510743,10.14,-0.9933618653
9.0996902764,8.641510743,10.48,-0.0681682881
9.0644847641,8.561510743,10.1,0.0456339597
9.1901091153,8.521510743,10.89,0.2499495021
9.425345624,8.911510743,10.53,0.4882783109
9.7356885913,8.801510743,10.2,0.4982242707
9.4298100863,8.791510743,10.82,0.1943543492
8.581510743,7.951510743,10.02,-0.6286887237
9.5857295217,9.021510743,10.36,0.6804990927
9.4636153062,8.921510743,10.69,0.1293645143
9.474876066,8.831510743,10.56,0.2897177472
9.281510743,8.651510743,10.24,-0.2476827455
9.381510743,8.751510743,10.11,0.3418402816
9.4513374065,8.861510743,11,0.2028979466
9.4159836236,8.621510743,10.63,0.0190285967
9.2361517354,8.681510743,10.01,0.2979317851
9.126603248,8.471510743,10.23,-0.1174790572
9.7268013869,9.181510743,10.55,0.4770736765
8.7530402464,8.391510743,10.54,-0.3368669985
9.5786803326,9.041510743,10.37,0.8500267002
9.0257336336,8.551510743,10.06,-0.1386875622
9.261510743,8.631510743,10.02,0.2538976368
9.1090099222,8.541510743,11.07,0.1871823028
9.0532772573,8.561510743,10.36,-0.0891468561
9.151510743,8.521510743,10.11,0.1522208318
9.101510743,8.471510743,10.2,-0.2763542102
9.3985387457,8.811510743,10.56,0.2726538378
9.581510743,8.951510743,10.38,0.126275811
9.521510743,8.891510743,10.55,0.175589751
8.9459980719,8.381510743,10.67,-0.4024593633
8.901510743,8.271510743,10.01,-0.0872307189
9.0134676181,8.511510743,10.67,-0.5595352389
9.481510743,8.851510743,10.53,-0.0654107432
9.3340815399,8.611510743,10.77,-0.0118681137
9.4104384955,9.021510743,11.21,0.0882094088
9.3600297847,8.751510743,10.27,0.3960885256
9.4444511684,8.761510743,10.97,-0.0357360945
9.3005093937,8.731510743,10.76,-0.0636054187
9.7239490284,8.861510743,10.87,0.3014807335
9.4508938058,8.611510743,11.13,0.4234038491
9.6375889532,9.121510743,10.64,0.5368050086
9.4645857895,8.941510743,10.62,0.2307228266
9.6642250054,8.971510743,11.16,0.4538179007
9.7591124198,9.141510743,10.62,0.6178602834
9.880850253,9.05,10.03,0.4775897127
9.7703080775,9.22,10.59,0.9993160945
9.341510743,8.711510743,10.47,0.1721174096
8.991510743,8.361510743,10,-0.3566985297
9.2839074496,8.671510743,11.18,0.3828123
9.6074321852,9.031510743,11.18,0.1470805219
9.8088821616,8.941510743,10.89,0.2466429437
8.9163864414,8.351510743,10.24,-0.5249422041
8.7286245883,8.171510743,10.02,-0.011531715
9.1126398832,8.431510743,10.54,-0.1917310563
8.7680692477,7.961510743,10.38,-0.8234250526
9.5459759805,8.961510743,10.99,0.2761460496
9.0843488204,8.391510743,10.12,0.0517508419
8.7909790918,8.131510743,10.11,-0.0894054845
9.6203796409,8.761510743,10.42,0.1149883033
9.4178524303,8.871510743,10.39,0.476644479
9.6828888526,8.851510743,10.82,0.3912801257
9.9327714193,9.061510743,11.1,0.4747793211
9.4883389036,8.861510743,10.32,-0.038346769
10.06,9.43,10.32,0.7004005954
9.1956304655,8.801510743,10.8,0.3171701814
8.8893529281,8.411510743,10.29,-0.3234276801
9.681510743,9.051510743,10.6,0.585006308
9.4797880902,8.931510743,11.32,0.23157489
9.0688760353,8.531510743,10.98,-0.0728996691
9.8143884161,9.041510743,10.8,0.5520549286
9.7088508767,9.151510743,10.7,0.5408860966
9.0317636054,8.501510743,10.08,0.3673662655
9.0344687577,8.311510743,10.6,-0.2141356731
9.221510743,8.591510743,10.28,0.0507714118
9.2862166559,8.681510743,11.02,0.139629468
9.451510743,8.821510743,10.09,0.4847237938
9.041510743,8.411510743,10.17,0.0524747654
8.5923707564,8.061510743,10.44,-0.4170770985
9.822235223,9.281510743,10.77,0.6212463617
9.611510743,8.981510743,10.91,0.5814068969
